Generation,SelectionStatus,replicate,sex,id,bs,tsl1,tsw1,tsl2,tsw2,sph1,sph2,sph3,sph4,sph5,spt1,spt2,spt3,spt4,spt5,testes 1,testes 2,avgts,avgss,cbrtestes,logtestes,logsperm,logbs,bsscale
0,RS,0,male,cpm1,0.85,0.48,0.12,0.48,0.16,35.364,25.447,24.88,28.087,30.135,242.063,192.472,224.116,237.253,257.002,0.003620571,0.006436571,0.005028571,259.3638,0.171322686,-0.766185126,2.413909361,-0.070581074,
0,RS,0,male,cpm2,0.88,0.48,0.16,0.44,0.12,33.694,34.65,24.868,32.541,32.376,249.723,261.129,251.914,269.119,273.596,0.006436571,0.003318857,0.004877714,292.722,0.169592035,-0.770594547,2.466455364,-0.055517328,
0,RS,0,male,cpm3,0.8,0.4,0.08,0.4,0.12,30.551,31.852,33.517,36.143,38.647,251.446,262.651,255.628,266.979,190.793,0.001340952,0.003017143,0.002179048,279.6414,0.129644941,-0.887244426,2.446601468,-0.096910013,
0,RS,0,male,cpm4,0.84,0.48,0.08,0.48,0.12,30.85,40.707,32.601,36.802,38.79,246.072,246.792,279.174,223.564,269.11,0.001609143,0.003620571,0.002614857,288.8924,0.137768307,-0.860850678,2.460736117,-0.075720714,
0,RS,0,male,cpm5,0.8,0.4,0.16,0.44,0.16,29.42,34.597,33.811,31.77,44.248,265.878,252.269,241.597,275.457,227.432,0.00536381,0.00590019,0.005632,287.2958,0.177918407,-0.749779118,2.458329277,-0.096910013,
0,RS,1,male,cm1,0.88,0.44,0.16,0.44,0.16,30.473,32.798,31.135,34.88,33.316,272.638,235.663,221.391,274.767,265.427,0.00590019,0.00590019,0.00590019,286.4976,0.180698831,-0.743044656,2.457120988,-0.055517328,
0,RS,1,male,cm2,0.84,0.52,0.08,0.48,0.08,29.312,30.617,31.956,34.037,30.571,287.362,278.42,282.886,270.274,266.089,0.001743238,0.001609143,0.00167619,308.3048,0.118788516,-0.925225544,2.488980286,-0.075720714,
0,RS,1,male,cm3,0.76,0.44,0.12,0.48,0.08,29.569,31.924,33.188,37.771,31.906,265.438,249.408,258.092,268.045,288.432,0.003318857,0.001609143,0.002464,298.7546,0.135066268,-0.869453099,2.475314601,-0.119186408,
0,RS,1,male,cm4,0.76,0.48,0.12,0.52,0.12,35.129,35.881,34.157,36.602,35.146,275.198,286.347,292.783,265.68,275.819,0.003620571,0.003922286,0.003771429,314.5484,0.15565699,-0.807831371,2.49768748,-0.119186408,
0,RS,1,male,cm5,0.8,0.48,0.12,0.48,0.12,36.413,38.778,33.44,30.38,32.676,271.141,256.046,266.624,233.929,256.936,0.003620571,0.003620571,0.003620571,291.2726,0.15355326,-0.81374096,2.464299632,-0.096910013,
0,RS,1,male,cm6,0.72,0.4,0.08,0.4,0.08,30.659,32.465,32.877,30.775,31.976,273.822,270.446,262.604,272.873,272.201,0.001340952,0.001340952,0.001340952,302.1396,0.11027349,-0.957528881,2.48020765,-0.142667504,
0,RS,1,male,cm7,0.8,0.44,0.08,0.48,0.16,35.288,31.271,34.933,33.239,32.387,200.665,246.587,249.638,263.147,265.616,0.001475048,0.006436571,0.00395581,278.5542,0.158153372,-0.800921543,2.444909711,-0.096910013,
0,RS,1,male,cm8,0.76,0.52,0.16,0.52,0.16,30.701,33.499,34.28,32.875,30.855,289.42,249.169,274.049,286.809,239.497,0.006972952,0.006972952,0.006972952,300.2308,0.191046418,-0.7188611,2.477455243,-0.119186408,
0,RS,2,male,cm1,0.76,0.48,0.12,0.44,0.16,27.319,31.475,34.96,24.822,33.755,301.021,252.825,240.923,286.126,265.116,0.003620571,0.00590019,0.004760381,299.6684,0.168221139,-0.77411943,2.476640949,-0.119186408,
0,RS,2,male,cm2,0.8,0.48,0.12,0.44,0.12,33.586,33.217,34.043,30.882,33.423,277.319,278.19,266.721,284.293,249.278,0.003620571,0.003318857,0.003469714,304.1904,0.15139025,-0.819902095,2.483145504,-0.096910013,
0,RS,2,male,cm3,0.84,0.48,0.12,0.48,0.16,31.352,34.595,32.664,30.934,30.604,268.251,259.873,262.755,279.962,275.935,0.003620571,0.006436571,0.005028571,301.385,0.171322686,-0.766185126,2.479121634,-0.075720714,
0,RS,2,male,cm4,0.88,0.52,0.16,0.48,0.2,30.772,35.084,31.757,31.383,31.054,283.287,260.374,267.727,269.049,280.299,0.006972952,0.010057143,0.008515048,304.1572,0.204203114,-0.68993764,2.483098102,-0.055517328,
0,RS,2,male,cm5,0.72,0.4,0.12,0.44,0.12,35.084,35.541,33.004,35.278,30.111,274.378,274.935,278.296,267.777,281.298,0.003017143,0.003318857,0.003168,309.1404,0.146868409,-0.833071609,2.490155765,-0.142667504,
0,RS,2,male,cm6,0.8,0.52,0.08,0.44,0.12,30.392,31.094,33.365,34.063,27.777,257.889,269.047,254.801,250.572,258.107,0.001743238,0.003318857,0.002531048,289.4214,0.136280412,-0.865566561,2.46153064,-0.096910013,
0,RS,3,male,cm2,0.76,0.44,0.16,0.44,0.16,35.258,38.984,36.169,32.601,37.018,280.177,287.961,242.271,277.312,287.019,0.00590019,0.00590019,0.00590019,310.954,0.180698831,-0.743044656,2.492696148,-0.119186408,
0,RS,3,male,cm3,0.72,0.44,0.16,0.44,0.08,32.471,33.485,34.461,34.46,31.886,276.239,267.15,254.541,238.426,271.869,0.00590019,0.001475048,0.003687619,294.9976,0.154495328,-0.81108465,2.469818483,-0.142667504,
0,RS,3,male,cm4,0.8,0.48,0.16,0.44,0.12,35.179,34.421,36.666,32.151,33.298,262.251,259.12,291.789,271.381,280.047,0.006436571,0.003318857,0.004877714,307.2606,0.169592035,-0.770594547,2.487506874,-0.096910013,
0,RS,3,male,cm6,0.88,0.48,0.12,0.48,0.16,34.147,33.088,36.52,30.1,37.095,271.681,244.529,265.712,252.25,265.605,0.003620571,0.006436571,0.005028571,294.1454,0.171322686,-0.766185126,2.468562061,-0.055517328,
0,RS,3,male,cm7,0.76,0.48,0.12,0.48,0.12,34.549,38.654,34.137,29.021,33.052,257.536,239.862,234.133,250.793,243.114,0.003620571,0.003620571,0.003620571,278.9702,0.15355326,-0.81374096,2.445557814,-0.119186408,
0,RS,4,male,cm2,0.84,0.44,0.12,0.44,0.16,29.414,25.538,25.899,27.924,27.736,289.578,292.26,273.716,286.855,287.697,0.003318857,0.00590019,0.004609524,313.3234,0.166425047,-0.778781312,2.495992831,-0.075720714,
0,RS,4,male,cm3,0.8,0.56,0.12,0.56,0.12,25.322,31.849,35.245,23.16,35.616,265.031,263.95,278.739,266.459,259.893,0.004224,0.004224,0.004224,297.0528,0.161649601,-0.791425363,2.47283365,-0.096910013,
0,RS,4,male,cm4,0.92,0.6,0.16,0.48,0.16,36.322,31.876,26.646,30.959,35.32,259.195,264.4,267.424,276.662,255.86,0.008045714,0.006436571,0.007241143,296.9328,0.193464984,-0.713397628,2.472658174,-0.036212173,
0,RS,4,male,cm5,0.88,0.52,0.12,0.52,0.12,36.481,32.207,35.238,30.483,33.039,268.175,261.15,281.28,250.236,268.142,0.003922286,0.003922286,0.003922286,299.2862,0.157705344,-0.802153591,2.476086692,-0.055517328,
0,RS,4,male,cm6,0.88,0.56,0.12,0.56,0.12,39.186,37.48,30.356,33.936,29.782,274.724,244.157,277.168,262.368,279.299,0.004224,0.004224,0.004224,301.6912,0.161649601,-0.791425363,2.479562642,-0.055517328,
0,RS,4,male,cm7,0.8,0.52,0.16,0.52,0.16,30.182,20.552,29.183,30.61,29.998,319.332,313.471,284.556,292.209,283.223,0.006972952,0.006972952,0.006972952,326.6632,0.191046418,-0.7188611,2.514100212,-0.096910013,
0,RS,5,male,cm1,0.92,0.52,0.16,0.52,0.16,36.84,36.55,34.235,31.783,26.548,288.884,284.428,298.064,294.952,270.377,0.006972952,0.006972952,0.006972952,320.5322,0.191046418,-0.7188611,2.505871664,-0.036212173,
0,RS,5,male,cm2,0.88,0.48,0.12,0.44,0.12,33.75,33.487,32.143,32.449,33.125,281.684,273.836,263.317,265.234,255.929,0.003620571,0.003318857,0.003469714,300.9908,0.15139025,-0.819902095,2.478553221,-0.055517328,
0,RS,5,male,cm3,0.88,0.52,0.16,0.52,0.12,32.759,35.39,32.882,32.699,31.209,247.342,243.067,264.426,253.351,266.092,0.006972952,0.003922286,0.005447619,287.8434,0.175955256,-0.754597757,2.459156276,-0.055517328,
0,RS,5,male,cm4,0.88,0.48,0.16,0.48,0.16,36.133,32.446,34.648,29.731,29.571,257.861,269.914,260.998,259.943,264.571,0.006436571,0.006436571,0.006436571,295.1632,0.186016527,-0.730448469,2.47006221,-0.055517328,
0,RS,5,male,cm5,0.92,0.52,0.12,0.56,0.16,34.227,26.356,33.675,37.641,33.325,226.448,254.767,241.392,244.637,249.719,0.003922286,0.007509333,0.00571581,276.4374,0.178796597,-0.747640751,2.4415968,-0.036212173,
0,RS,5,male,cm6,0.84,0.48,0.12,0.48,0.12,30.007,30.365,30.026,30.286,32.297,259.393,276.703,264.05,264.97,280.135,0.003620571,0.003620571,0.003620571,299.6464,0.15355326,-0.81374096,2.476609064,-0.075720714,
0,RS,5,male,cm7,0.88,0.52,0.12,0.44,0.12,33.488,32.821,29.218,31.826,26.92,247.852,255.528,206.518,253.141,236.051,0.003922286,0.003318857,0.003620571,270.6726,0.15355326,-0.81374096,2.432444295,-0.055517328,
0,RS,5,male,cm8,0.96,0.44,0.16,0.36,0.2,30.467,34.576,33.72,36.894,34.479,204.322,249.672,230.638,251.465,219.842,0.00590019,0.007542857,0.006721524,265.215,0.188722022,-0.72417742,2.423598083,-0.017728767,
0,RS,5,male,cm9,0.92,0.52,0.16,0.52,0.16,27.228,29.36,31.836,27.23,32.714,268.967,244.539,228.833,259.825,226.368,0.006972952,0.006972952,0.006972952,275.38,0.191046418,-0.7188611,2.439932396,-0.036212173,
0,S,1,male,m2,1,0.64,0.2,0.6,0.12,27.52,30.187,32.298,34.885,38.712,339.908,252.374,245.402,287.866,251.357,0.013409524,0.004525714,0.008967619,308.1018,0.207758619,-0.68244095,2.488694236,0,
0,S,2,male,m1,1,0.44,0.16,0.52,0.12,45.516,35.173,33.564,40.489,30.952,275.468,253.621,277.542,268.893,241.31,0.00590019,0.003922286,0.004911238,300.5056,0.169979676,-0.769603004,2.47785257,0,
0,S,2,male,m2,0.8,0.48,0.12,0.44,0.12,32.939,26.795,31.634,32.044,30.672,269.922,244.989,245.282,257.87,243.143,0.003620571,0.003318857,0.003469714,283.058,0.15139025,-0.819902095,2.451875434,-0.096910013,
0,S,2,male,m3,1,0.52,0.16,0.6,0.2,33.86,26.918,31.557,38.419,29.821,276.014,295.385,279.91,298.847,273.717,0.006972952,0.012571429,0.00977219,316.8896,0.213794884,-0.670002692,2.500907986,0,
0,S,3,male,m1,0.8,0.44,0.08,0.44,0.08,32.197,36.632,22.055,30.527,29.002,260.857,286.905,237,250.886,243.179,0.001475048,0.001475048,0.001475048,285.7696,0.113833131,-0.94373132,2.456016027,-0.096910013,
0,S,3,male,m2,0.84,0.48,0.12,0.48,0.12,25.711,26.7,37.092,31.082,30.568,273.321,263.528,273.651,262.331,257.188,0.003620571,0.003620571,0.003620571,296.2344,0.15355326,-0.81374096,2.471635489,-0.075720714,
0,S,3,male,m3,0.84,0.48,0.08,0.44,0.12,32.755,30.566,39.841,37.182,29.781,259.418,245.185,222.155,242.241,209.637,0.001609143,0.003318857,0.002464,269.7522,0.135066268,-0.869453099,2.430964995,-0.075720714,
0,S,3,male,m4,0.72,0.52,0.12,0.48,0.08,28.042,28.579,30.638,29.625,30.29,239.274,269.868,253.428,259.534,285.697,0.003922286,0.001609143,0.002765714,290.995,0.140368321,-0.852730896,2.463885527,-0.142667504,
0,S,4,male,m1,0.88,0.48,0.16,0.44,0.16,30.299,25.392,31.593,32.431,31.092,261.285,212.34,252.653,250.097,249.446,0.006436571,0.00590019,0.006168381,275.3256,0.183396227,-0.736609604,2.439846594,-0.055517328,
0,S,4,male,m2,0.88,0.48,0.08,0.4,0.08,35.762,34.326,39.256,29.194,32.54,263.194,273.229,260.629,288.323,270.687,0.001609143,0.001340952,0.001475048,305.428,0.113833131,-0.94373132,2.484908848,-0.055517328,
0,S,4,male,m3,0.84,0.48,0.08,0.4,0.12,32.961,25.743,29.477,31.621,24.537,239.911,206.247,250.564,271.246,259.785,0.001609143,0.003017143,0.002313143,274.4184,0.132251565,-0.878599182,2.438413228,-0.075720714,
0,S,4,male,m4,0.92,0.48,0.12,0.52,0.12,40.28,32.066,29.028,30.289,29.247,190.188,252.104,264.718,247.95,262.097,0.003620571,0.003922286,0.003771429,275.5934,0.15565699,-0.807831371,2.440268813,-0.036212173,
