Generation,SelectionStatus,replicate,sex,id,bs,tsl1,tsw1,tsl2,tsw2,testes 1,testes 2,avgts,cbrtestes,logtestes,logbs,bsscale
0,RS,0,male,cpm1,0.85,0.48,0.12,0.48,0.16,0.003620571,0.006436571,0.005028571,0.171322686,-0.766185126,-0.070581074,
0,RS,0,male,cpm2,0.88,0.48,0.16,0.44,0.12,0.006436571,0.003318857,0.004877714,0.169592035,-0.770594547,-0.055517328,
0,RS,0,male,cpm3,0.8,0.4,0.08,0.4,0.12,0.001340952,0.003017143,0.002179048,0.129644941,-0.887244426,-0.096910013,
0,RS,0,male,cpm4,0.84,0.48,0.08,0.48,0.12,0.001609143,0.003620571,0.002614857,0.137768307,-0.860850678,-0.075720714,
0,RS,0,male,cpm5,0.8,0.4,0.16,0.44,0.16,0.00536381,0.00590019,0.005632,0.177918407,-0.749779118,-0.096910013,
0,RS,1,male,cm1,0.88,0.44,0.16,0.44,0.16,0.00590019,0.00590019,0.00590019,0.180698831,-0.743044656,-0.055517328,
0,RS,1,male,cm2,0.84,0.52,0.08,0.48,0.08,0.001743238,0.001609143,0.00167619,0.118788516,-0.925225544,-0.075720714,
0,RS,1,male,cm3,0.76,0.44,0.12,0.48,0.08,0.003318857,0.001609143,0.002464,0.135066268,-0.869453099,-0.119186408,
0,RS,1,male,cm4,0.76,0.48,0.12,0.52,0.12,0.003620571,0.003922286,0.003771429,0.15565699,-0.807831371,-0.119186408,
0,RS,1,male,cm5,0.8,0.48,0.12,0.48,0.12,0.003620571,0.003620571,0.003620571,0.15355326,-0.81374096,-0.096910013,
0,RS,1,male,cm6,0.72,0.4,0.08,0.4,0.08,0.001340952,0.001340952,0.001340952,0.11027349,-0.957528881,-0.142667504,
0,RS,1,male,cm7,0.8,0.44,0.08,0.48,0.16,0.001475048,0.006436571,0.00395581,0.158153372,-0.800921543,-0.096910013,
0,RS,1,male,cm8,0.76,0.52,0.16,0.52,0.16,0.006972952,0.006972952,0.006972952,0.191046418,-0.7188611,-0.119186408,
0,RS,2,male,cm1,0.76,0.48,0.12,0.44,0.16,0.003620571,0.00590019,0.004760381,0.168221139,-0.77411943,-0.119186408,
0,RS,2,male,cm2,0.8,0.48,0.12,0.44,0.12,0.003620571,0.003318857,0.003469714,0.15139025,-0.819902095,-0.096910013,
0,RS,2,male,cm3,0.84,0.48,0.12,0.48,0.16,0.003620571,0.006436571,0.005028571,0.171322686,-0.766185126,-0.075720714,
0,RS,2,male,cm4,0.88,0.52,0.16,0.48,0.2,0.006972952,0.010057143,0.008515048,0.204203114,-0.68993764,-0.055517328,
0,RS,2,male,cm5,0.72,0.4,0.12,0.44,0.12,0.003017143,0.003318857,0.003168,0.146868409,-0.833071609,-0.142667504,
0,RS,2,male,cm6,0.8,0.52,0.08,0.44,0.12,0.001743238,0.003318857,0.002531048,0.136280412,-0.865566561,-0.096910013,
