Generation,Replicate,CSurvivors M,CSurvivors F,TSurvivors M,TSurvivors F,Predation pop M,Predation pop F,C M:F,T M:F
0,1,8,6,2,4,NA,NA,1.333333333,0.5
0,2,6,6,3,4,NA,NA,1,0.75
0,3,7,5,4,3,NA,NA,1.4,1.333333333
0,4,7,10,5,5,NA,NA,0.7,1
0,5,9,7,1,3,NA,NA,1.285714286,0.333333333
1,1,9,10,0,0,10,10,0.9,#DIV/0!
1,2,10,10,3,4,10,10,1,0.75
1,3,1,6,5,4,10,10,0.166666667,1.25
1,4,10,10,6,9,10,10,1,0.666666667
1,5,9,10,0,7,10,10,0.9,0
2,1,3,4,8,10,10,10,0.75,0.8
2,2,10,10,9,5,10,10,1,1.8
2,3,10,10,1,4,10,10,1,0.25
2,4,8,10,4,5,10,10,0.8,0.8
2,5,9,9,9,7,10,10,1,1.285714286
3,1,9,9,6,3,10,10,1,2
3,2,9,9,8,7,10,10,1,1.142857143
3,3,10,9,4,4,10,10,1.111111111,1
3,4,9,6,8,9,10,10,1.5,0.888888889
3,5,6,9,6,7,10,10,0.666666667,0.857142857
4,1,8,8,8,7,10,9,1,1.142857143
4,2,10,9,7,8,10,10,1.111111111,0.875
4,3,10,9,5,2,10,10,1.111111111,2.5
4,4,12,14,5,4,10,10,0.857142857,1.25
4,5,8,7,3,5,10,10,1.142857143,0.6
5,1,9,7,3,1,10,10,1.285714286,3
5,2,8,9,4,7,10,10,0.888888889,0.571428571
5,3,7,8,9,5,10,10,0.875,1.8
5,4,5,3,3,5,10,10,1.666666667,0.6
5,5,10,10,8,8,10,10,1,1
6,1,8,10,6,4,10,10,0.8,1.5
6,2,9,9,9,8,10,10,1,1.125
6,3,9,10,3,6,10,10,0.9,0.5
6,4,6,9,6,3,10,10,0.666666667,2
6,5,0,3,5,6,10,10,0,0.833333333
7,1,5,8,5,6,10,10,0.625,0.833333333
7,2,5,7,4,4,10,10,0.714285714,1
7,3,8,8,8,7,10,7,1,1.142857143
7,4,10,10,7,5,10,8,1,1.4
7,5,8,7,2,8,10,10,1.142857143,0.25
8,1,8,10,2,1,10,8,0.8,2
8,2,7,10,2,7,10,10,0.7,0.285714286
8,3,9,10,7,4,10,8,0.9,1.75
8,4,10,10,6,6,10,10,1,1
8,5,10,10,5,10,10,10,1,0.5
9,1,10,10,2,3,10,10,1,0.666666667
9,2,10,10,4,6,10,10,1,0.666666667
9,3,10,10,4,3,10,10,1,1.333333333
9,4,10,10,1,3,10,9,1,0.333333333
9,5,10,10,7,7,10,10,1,1
10,1,10,10,8,10,NA,NA,1,0.8
10,2,10,10,8,10,NA,NA,1,0.8
10,3,9,10,10,10,NA,NA,0.9,1
10,4,10,10,7,10,NA,NA,1,0.7
10,5,10,10,9,10,NA,NA,1,0.9
